Age_group,Year,Population,Sex
Median age,2002,37.2,Female
Median age,2003,37.8,Female
Median age,2004,38.2,Female
Median age,2005,38.7,Female
Median age,2006,39.3,Female
Median age,2007,39.9,Female
Median age,2008,40.3,Female
Median age,2009,40.7,Female
Median age,2010,41,Female
Median age,2011,41.4,Female
Median age,2012,41.9,Female
Median age,2013,42.4,Female
Median age,2014,42.7,Female
Median age,2015,43,Female
Median age,2016,43,Female
Median age,2017,42.9,Female
Median age,2018,42.8,Female
Median age,2019,42.4,Female
Median age,2020,42.1,Female
Median age,2021,41.9,Female
Median age,2022,41.4,Female
Median age,2023,40.5,Female
Median age,2024,39.7,Female
Median age,2025,39.5,Female
All ages,2000,69804,Male
All ages,2001,69957,Male
All ages,2002,70101,Male
All ages,2003,70238,Male
All ages,2004,70386,Male
All ages,2005,70524,Male
All ages,2006,70332,Male
All ages,2007,70414,Male
All ages,2008,71037,Male
All ages,2009,71568,Male
All ages,2010,72449,Male
All ages,2011,73674,Male
All ages,2012,73993,Male
All ages,2013,73924,Male
All ages,2014,73969,Male
All ages,2015,74187,Male
All ages,2016,75290,Male
All ages,2017,76735,Male
All ages,2018,77970,Male
All ages,2019,79771,Male
All ages,2020,81581,Male
All ages,2021,83078,Male
All ages,2022,85588,Male
All ages,2023,88739,Male
All ages,2024,91627,Male
All ages,2025,93088,Male
0 to 4 years,2000,3875,Male
0 to 4 years,2001,3686,Male
0 to 4 years,2002,3636,Male
0 to 4 years,2003,3628,Male
0 to 4 years,2004,3549,Male
0 to 4 years,2005,3441,Male
0 to 4 years,2006,3349,Male
0 to 4 years,2007,3387,Male
0 to 4 years,2008,3458,Male
0 to 4 years,2009,3528,Male
0 to 4 years,2010,3570,Male
0 to 4 years,2011,3635,Male
0 to 4 years,2012,3593,Male
0 to 4 years,2013,3530,Male
0 to 4 years,2014,3526,Male
0 to 4 years,2015,3463,Male
0 to 4 years,2016,3511,Male
0 to 4 years,2017,3520,Male
0 to 4 years,2018,3489,Male
0 to 4 years,2019,3450,Male
0 to 4 years,2020,3472,Male
0 to 4 years,2021,3498,Male
0 to 4 years,2022,3559,Male
0 to 4 years,2023,3551,Male
0 to 4 years,2024,3590,Male
0 to 4 years,2025,3530,Male
5 to 9 years,2000,4513,Male
5 to 9 years,2001,4402,Male
5 to 9 years,2002,4258,Male
5 to 9 years,2003,4114,Male
5 to 9 years,2004,4040,Male
5 to 9 years,2005,3982,Male
5 to 9 years,2006,3810,Male
5 to 9 years,2007,3710,Male
5 to 9 years,2008,3687,Male
5 to 9 years,2009,3657,Male
5 to 9 years,2010,3621,Male
5 to 9 years,2011,3700,Male
5 to 9 years,2012,3779,Male
5 to 9 years,2013,3796,Male
5 to 9 years,2014,3829,Male
5 to 9 years,2015,3870,Male
5 to 9 years,2016,4009,Male
5 to 9 years,2017,4097,Male
5 to 9 years,2018,4064,Male
5 to 9 years,2019,4104,Male
5 to 9 years,2020,4049,Male
5 to 9 years,2021,4008,Male
5 to 9 years,2022,4058,Male
5 to 9 years,2023,4090,Male
5 to 9 years,2024,4114,Male
5 to 9 years,2025,4141,Male
10 to 14 years,2000,4999,Male
10 to 14 years,2001,4970,Male
10 to 14 years,2002,4877,Male
10 to 14 years,2003,4820,Male
10 to 14 years,2004,4716,Male
10 to 14 years,2005,4608,Male
10 to 14 years,2006,4501,Male
10 to 14 years,2007,4330,Male
10 to 14 years,2008,4231,Male
10 to 14 years,2009,4206,Male
10 to 14 years,2010,4168,Male
10 to 14 years,2011,4068,Male
10 to 14 years,2012,3996,Male
10 to 14 years,2013,3977,Male
10 to 14 years,2014,3974,Male
10 to 14 years,2015,3903,Male
10 to 14 years,2016,3924,Male
10 to 14 years,2017,4048,Male
10 to 14 years,2018,4161,Male
10 to 14 years,2019,4272,Male
10 to 14 years,2020,4370,Male
10 to 14 years,2021,4405,Male
10 to 14 years,2022,4498,Male
10 to 14 years,2023,4549,Male
10 to 14 years,2024,4696,Male
10 to 14 years,2025,4710,Male
15 to 19 years,2000,4997,Male
15 to 19 years,2001,5067,Male
15 to 19 years,2002,5029,Male
15 to 19 years,2003,4994,Male
15 to 19 years,2004,4984,Male
15 to 19 years,2005,4989,Male
15 to 19 years,2006,4925,Male
15 to 19 years,2007,4899,Male
15 to 19 years,2008,4887,Male
15 to 19 years,2009,4831,Male
15 to 19 years,2010,4757,Male
15 to 19 years,2011,4716,Male
15 to 19 years,2012,4575,Male
15 to 19 years,2013,4451,Male
15 to 19 years,2014,4384,Male
15 to 19 years,2015,4423,Male
15 to 19 years,2016,4397,Male
15 to 19 years,2017,4394,Male
15 to 19 years,2018,4503,Male
15 to 19 years,2019,4554,Male
15 to 19 years,2020,4578,Male
15 to 19 years,2021,4487,Male
15 to 19 years,2022,4680,Male
15 to 19 years,2023,4874,Male
15 to 19 years,2024,5025,Male
15 to 19 years,2025,5068,Male
20 to 24 years,2000,4493,Male
20 to 24 years,2001,4528,Male
20 to 24 years,2002,4562,Male
20 to 24 years,2003,4610,Male
20 to 24 years,2004,4646,Male
20 to 24 years,2005,4631,Male
20 to 24 years,2006,4608,Male
20 to 24 years,2007,4525,Male
20 to 24 years,2008,4486,Male
20 to 24 years,2009,4489,Male
20 to 24 years,2010,4626,Male
20 to 24 years,2011,4742,Male
20 to 24 years,2012,4762,Male
20 to 24 years,2013,4672,Male
20 to 24 years,2014,4455,Male
20 to 24 years,2015,4388,Male
20 to 24 years,2016,4395,Male
20 to 24 years,2017,4528,Male
20 to 24 years,2018,4689,Male
20 to 24 years,2019,5036,Male
20 to 24 years,2020,5532,Male
20 to 24 years,2021,5903,Male
20 to 24 years,2022,6282,Male
20 to 24 years,2023,7007,Male
20 to 24 years,2024,7290,Male
20 to 24 years,2025,7008,Male
25 to 29 years,2000,4300,Male
25 to 29 years,2001,4144,Male
25 to 29 years,2002,4069,Male
25 to 29 years,2003,4075,Male
25 to 29 years,2004,4064,Male
25 to 29 years,2005,4087,Male
25 to 29 years,2006,4094,Male
25 to 29 years,2007,4081,Male
25 to 29 years,2008,4062,Male
25 to 29 years,2009,4016,Male
25 to 29 years,2010,4009,Male
25 to 29 years,2011,4047,Male
25 to 29 years,2012,4040,Male
25 to 29 years,2013,4030,Male
25 to 29 years,2014,4030,Male
25 to 29 years,2015,4096,Male
25 to 29 years,2016,4159,Male
25 to 29 years,2017,4289,Male
25 to 29 years,2018,4467,Male
25 to 29 years,2019,4669,Male
25 to 29 years,2020,4855,Male
25 to 29 years,2021,5035,Male
25 to 29 years,2022,5324,Male
25 to 29 years,2023,5929,Male
25 to 29 years,2024,6658,Male
25 to 29 years,2025,7343,Male
30 to 34 years,2000,4496,Male
30 to 34 years,2001,4454,Male
30 to 34 years,2002,4477,Male
30 to 34 years,2003,4367,Male
30 to 34 years,2004,4352,Male
30 to 34 years,2005,4247,Male
30 to 34 years,2006,4087,Male
30 to 34 years,2007,4048,Male
30 to 34 years,2008,4168,Male
30 to 34 years,2009,4150,Male
30 to 34 years,2010,4167,Male
30 to 34 years,2011,4220,Male
30 to 34 years,2012,4211,Male
30 to 34 years,2013,4168,Male
30 to 34 years,2014,4096,Male
30 to 34 years,2015,4069,Male
30 to 34 years,2016,4243,Male
30 to 34 years,2017,4372,Male
30 to 34 years,2018,4439,Male
30 to 34 years,2019,4569,Male
30 to 34 years,2020,4880,Male
30 to 34 years,2021,5072,Male
30 to 34 years,2022,5204,Male
30 to 34 years,2023,5468,Male
30 to 34 years,2024,5754,Male
30 to 34 years,2025,5904,Male
35 to 39 years,2000,5597,Male
35 to 39 years,2001,5427,Male
35 to 39 years,2002,5279,Male
35 to 39 years,2003,5050,Male
35 to 39 years,2004,4759,Male
35 to 39 years,2005,4579,Male
35 to 39 years,2006,4512,Male
35 to 39 years,2007,4451,Male
35 to 39 years,2008,4392,Male
35 to 39 years,2009,4467,Male
35 to 39 years,2010,4493,Male
35 to 39 years,2011,4523,Male
35 to 39 years,2012,4451,Male
35 to 39 years,2013,4451,Male
35 to 39 years,2014,4465,Male
35 to 39 years,2015,4467,Male
35 to 39 years,2016,4461,Male
35 to 39 years,2017,4607,Male
35 to 39 years,2018,4701,Male
35 to 39 years,2019,4827,Male
35 to 39 years,2020,4884,Male
35 to 39 years,2021,5024,Male
35 to 39 years,2022,5286,Male
35 to 39 years,2023,5478,Male
35 to 39 years,2024,5811,Male
35 to 39 years,2025,6035,Male
40 to 44 years,2000,5556,Male
40 to 44 years,2001,5601,Male
40 to 44 years,2002,5588,Male
40 to 44 years,2003,5683,Male
40 to 44 years,2004,5788,Male
40 to 44 years,2005,5722,Male
40 to 44 years,2006,5528,Male
40 to 44 years,2007,5303,Male
40 to 44 years,2008,5117,Male
40 to 44 years,2009,4875,Male
40 to 44 years,2010,4815,Male
40 to 44 years,2011,4995,Male
40 to 44 years,2012,4976,Male
40 to 44 years,2013,4805,Male
40 to 44 years,2014,4742,Male
40 to 44 years,2015,4687,Male
40 to 44 years,2016,4720,Male
40 to 44 years,2017,4762,Male
40 to 44 years,2018,4800,Male
40 to 44 years,2019,4963,Male
40 to 44 years,2020,5022,Male
40 to 44 years,2021,5034,Male
40 to 44 years,2022,5209,Male
40 to 44 years,2023,5525,Male
40 to 44 years,2024,5746,Male
40 to 44 years,2025,5817,Male
45 to 49 years,2000,5026,Male
45 to 49 years,2001,5193,Male
45 to 49 years,2002,5370,Male
45 to 49 years,2003,5429,Male
45 to 49 years,2004,5484,Male
45 to 49 years,2005,5622,Male
45 to 49 years,2006,5658,Male
45 to 49 years,2007,5643,Male
45 to 49 years,2008,5766,Male
45 to 49 years,2009,5898,Male
45 to 49 years,2010,5852,Male
45 to 49 years,2011,5810,Male
45 to 49 years,2012,5726,Male
45 to 49 years,2013,5445,Male
45 to 49 years,2014,5143,Male
45 to 49 years,2015,4996,Male
45 to 49 years,2016,5008,Male
45 to 49 years,2017,5121,Male
45 to 49 years,2018,5079,Male
45 to 49 years,2019,5130,Male
45 to 49 years,2020,5131,Male
45 to 49 years,2021,5127,Male
45 to 49 years,2022,5141,Male
45 to 49 years,2023,5267,Male
45 to 49 years,2024,5395,Male
45 to 49 years,2025,5448,Male
50 to 54 years,2000,4927,Male
50 to 54 years,2001,5076,Male
50 to 54 years,2002,5028,Male
50 to 54 years,2003,4996,Male
50 to 54 years,2004,4996,Male
50 to 54 years,2005,5008,Male
50 to 54 years,2006,5183,Male
50 to 54 years,2007,5431,Male
50 to 54 years,2008,5521,Male
50 to 54 years,2009,5587,Male
50 to 54 years,2010,5759,Male
50 to 54 years,2011,5841,Male
50 to 54 years,2012,5847,Male
50 to 54 years,2013,5978,Male
50 to 54 years,2014,6105,Male
50 to 54 years,2015,6026,Male
50 to 54 years,2016,5856,Male
50 to 54 years,2017,5698,Male
50 to 54 years,2018,5525,Male
50 to 54 years,2019,5329,Male
50 to 54 years,2020,5245,Male
50 to 54 years,2021,5324,Male
50 to 54 years,2022,5413,Male
50 to 54 years,2023,5445,Male
50 to 54 years,2024,5431,Male
50 to 54 years,2025,5376,Male
55 to 59 years,2000,3496,Male
55 to 59 years,2001,3665,Male
55 to 59 years,2002,4017,Male
55 to 59 years,2003,4386,Male
55 to 59 years,2004,4648,Male
55 to 59 years,2005,4924,Male
55 to 59 years,2006,5042,Male
55 to 59 years,2007,5020,Male
55 to 59 years,2008,5077,Male
55 to 59 years,2009,5156,Male
55 to 59 years,2010,5236,Male
55 to 59 years,2011,5428,Male
55 to 59 years,2012,5648,Male
55 to 59 years,2013,5742,Male
55 to 59 years,2014,5741,Male
55 to 59 years,2015,5878,Male
55 to 59 years,2016,5955,Male
55 to 59 years,2017,5991,Male
55 to 59 years,2018,6093,Male
55 to 59 years,2019,6262,Male
55 to 59 years,2020,6248,Male
55 to 59 years,2021,6079,Male
55 to 59 years,2022,6003,Male
55 to 59 years,2023,5814,Male
55 to 59 years,2024,5610,Male
55 to 59 years,2025,5524,Male
60 to 64 years,2000,2965,Male
60 to 64 years,2001,3014,Male
60 to 64 years,2002,3086,Male
60 to 64 years,2003,3206,Male
60 to 64 years,2004,3430,Male
60 to 64 years,2005,3574,Male
60 to 64 years,2006,3735,Male
60 to 64 years,2007,4084,Male
60 to 64 years,2008,4446,Male
60 to 64 years,2009,4716,Male
60 to 64 years,2010,5041,Male
60 to 64 years,2011,5229,Male
60 to 64 years,2012,5189,Male
60 to 64 years,2013,5182,Male
60 to 64 years,2014,5273,Male
60 to 64 years,2015,5336,Male
60 to 64 years,2016,5528,Male
60 to 64 years,2017,5744,Male
60 to 64 years,2018,5850,Male
60 to 64 years,2019,5849,Male
60 to 64 years,2020,5953,Male
60 to 64 years,2021,6037,Male
60 to 64 years,2022,6197,Male
60 to 64 years,2023,6359,Male
60 to 64 years,2024,6516,Male
60 to 64 years,2025,6491,Male
65 to 69 years,2000,2669,Male
65 to 69 years,2001,2775,Male
65 to 69 years,2002,2819,Male
65 to 69 years,2003,2809,Male
65 to 69 years,2004,2845,Male
65 to 69 years,2005,2900,Male
65 to 69 years,2006,2927,Male
65 to 69 years,2007,3025,Male
65 to 69 years,2008,3179,Male
65 to 69 years,2009,3383,Male
65 to 69 years,2010,3526,Male
65 to 69 years,2011,3716,Male
65 to 69 years,2012,4037,Male
65 to 69 years,2013,4385,Male
65 to 69 years,2014,4640,Male
65 to 69 years,2015,4927,Male
65 to 69 years,2016,5110,Male
65 to 69 years,2017,5046,Male
65 to 69 years,2018,5070,Male
65 to 69 years,2019,5188,Male
65 to 69 years,2020,5295,Male
65 to 69 years,2021,5529,Male
65 to 69 years,2022,5749,Male
65 to 69 years,2023,5874,Male
65 to 69 years,2024,5891,Male
65 to 69 years,2025,6022,Male
70 to 74 years,2000,2369,Male
70 to 74 years,2001,2364,Male
70 to 74 years,2002,2347,Male
70 to 74 years,2003,2425,Male
70 to 74 years,2004,2442,Male
70 to 74 years,2005,2510,Male
70 to 74 years,2006,2608,Male
70 to 74 years,2007,2653,Male
70 to 74 years,2008,2639,Male
70 to 74 years,2009,2677,Male
70 to 74 years,2010,2758,Male
70 to 74 years,2011,2804,Male
70 to 74 years,2012,2888,Male
70 to 74 years,2013,3010,Male
70 to 74 years,2014,3201,Male
70 to 74 years,2015,3311,Male
70 to 74 years,2016,3494,Male
70 to 74 years,2017,3802,Male
70 to 74 years,2018,4192,Male
70 to 74 years,2019,4400,Male
70 to 74 years,2020,4662,Male
70 to 74 years,2021,4803,Male
70 to 74 years,2022,4864,Male
70 to 74 years,2023,4938,Male
70 to 74 years,2024,5085,Male
70 to 74 years,2025,5194,Male
75 to 79 years,2000,2144,Male
75 to 79 years,2001,2152,Male
75 to 79 years,2002,2161,Male
75 to 79 years,2003,2079,Male
75 to 79 years,2004,2094,Male
75 to 79 years,2005,2076,Male
75 to 79 years,2006,2071,Male
75 to 79 years,2007,2082,Male
75 to 79 years,2008,2176,Male
75 to 79 years,2009,2198,Male
75 to 79 years,2010,2284,Male
75 to 79 years,2011,2377,Male
75 to 79 years,2012,2406,Male
75 to 79 years,2013,2387,Male
75 to 79 years,2014,2451,Male
75 to 79 years,2015,2475,Male
75 to 79 years,2016,2506,Male
75 to 79 years,2017,2596,Male
75 to 79 years,2018,2684,Male
75 to 79 years,2019,2867,Male
75 to 79 years,2020,2994,Male
75 to 79 years,2021,3186,Male
75 to 79 years,2022,3514,Male
75 to 79 years,2023,3844,Male
75 to 79 years,2024,4061,Male
75 to 79 years,2025,4310,Male
80 to 84 years,2000,1692,Male
80 to 84 years,2001,1727,Male
80 to 84 years,2002,1783,Male
80 to 84 years,2003,1826,Male
80 to 84 years,2004,1789,Male
80 to 84 years,2005,1778,Male
80 to 84 years,2006,1776,Male
80 to 84 years,2007,1768,Male
80 to 84 years,2008,1738,Male
80 to 84 years,2009,1749,Male
80 to 84 years,2010,1729,Male
80 to 84 years,2011,1723,Male
80 to 84 years,2012,1724,Male
80 to 84 years,2013,1766,Male
80 to 84 years,2014,1812,Male
80 to 84 years,2015,1844,Male
80 to 84 years,2016,1937,Male
80 to 84 years,2017,1985,Male
80 to 84 years,2018,1976,Male
80 to 84 years,2019,2060,Male
80 to 84 years,2020,2115,Male
80 to 84 years,2021,2173,Male
80 to 84 years,2022,2257,Male
80 to 84 years,2023,2314,Male
80 to 84 years,2024,2464,Male
80 to 84 years,2025,2576,Male
85 to 89 years,2000,1113,Male
85 to 89 years,2001,1111,Male
85 to 89 years,2002,1086,Male
85 to 89 years,2003,1078,Male
85 to 89 years,2004,1076,Male
85 to 89 years,2005,1111,Male
85 to 89 years,2006,1159,Male
85 to 89 years,2007,1218,Male
85 to 89 years,2008,1266,Male
85 to 89 years,2009,1228,Male
85 to 89 years,2010,1234,Male
85 to 89 years,2011,1258,Male
85 to 89 years,2012,1261,Male
85 to 89 years,2013,1235,Male
85 to 89 years,2014,1211,Male
85 to 89 years,2015,1169,Male
85 to 89 years,2016,1188,Male
85 to 89 years,2017,1225,Male
85 to 89 years,2018,1290,Male
85 to 89 years,2019,1326,Male
85 to 89 years,2020,1360,Male
85 to 89 years,2021,1407,Male
85 to 89 years,2022,1404,Male
85 to 89 years,2023,1444,Male
85 to 89 years,2024,1509,Male
85 to 89 years,2025,1574,Male
90 to 94 years,2000,434,Male
90 to 94 years,2001,454,Male
90 to 94 years,2002,481,Male
90 to 94 years,2003,503,Male
90 to 94 years,2004,519,Male
90 to 94 years,2005,559,Male
90 to 94 years,2006,589,Male
90 to 94 years,2007,561,Male
90 to 94 years,2008,549,Male
90 to 94 years,2009,543,Male
90 to 94 years,2010,581,Male
90 to 94 years,2011,633,Male
90 to 94 years,2012,667,Male
90 to 94 years,2013,678,Male
90 to 94 years,2014,646,Male
90 to 94 years,2015,644,Male
90 to 94 years,2016,655,Male
90 to 94 years,2017,666,Male
90 to 94 years,2018,663,Male
90 to 94 years,2019,661,Male
90 to 94 years,2020,658,Male
90 to 94 years,2021,672,Male
90 to 94 years,2022,673,Male
90 to 94 years,2023,705,Male
90 to 94 years,2024,724,Male
90 to 94 years,2025,753,Male
95 to 99 years,2000,114,Male
95 to 99 years,2001,118,Male
95 to 99 years,2002,124,Male
95 to 99 years,2003,140,Male
95 to 99 years,2004,148,Male
95 to 99 years,2005,153,Male
95 to 99 years,2006,136,Male
95 to 99 years,2007,160,Male
95 to 99 years,2008,158,Male
95 to 99 years,2009,187,Male
95 to 99 years,2010,207,Male
95 to 99 years,2011,183,Male
95 to 99 years,2012,185,Male
95 to 99 years,2013,195,Male
95 to 99 years,2014,208,Male
95 to 99 years,2015,185,Male
95 to 99 years,2016,206,Male
95 to 99 years,2017,210,Male
95 to 99 years,2018,207,Male
95 to 99 years,2019,219,Male
95 to 99 years,2020,242,Male
95 to 99 years,2021,236,Male
95 to 99 years,2022,225,Male
95 to 99 years,2023,213,Male
95 to 99 years,2024,206,Male
95 to 99 years,2025,212,Male
100 years and older,2000,29,Male
100 years and older,2001,29,Male
100 years and older,2002,24,Male
100 years and older,2003,20,Male
100 years and older,2004,17,Male
100 years and older,2005,23,Male
100 years and older,2006,34,Male
100 years and older,2007,35,Male
100 years and older,2008,34,Male
100 years and older,2009,27,Male
100 years and older,2010,16,Male
100 years and older,2011,26,Male
100 years and older,2012,32,Male
100 years and older,2013,41,Male
100 years and older,2014,37,Male
100 years and older,2015,30,Male
100 years and older,2016,28,Male
100 years and older,2017,34,Male
100 years and older,2018,28,Male
100 years and older,2019,36,Male
100 years and older,2020,36,Male
100 years and older,2021,39,Male
100 years and older,2022,48,Male
100 years and older,2023,51,Male
100 years and older,2024,51,Male
100 years and older,2025,52,Male
,2000,NA,Male
,2001,NA,Male
,2002,NA,Male
,2003,NA,Male
,2004,NA,Male
,2005,NA,Male
,2006,NA,Male
,2007,NA,Male
,2008,NA,Male
,2009,NA,Male
,2010,NA,Male
,2011,NA,Male
,2012,NA,Male
,2013,NA,Male
,2014,NA,Male
,2015,NA,Male
,2016,NA,Male
,2017,NA,Male
,2018,NA,Male
,2019,NA,Male
,2020,NA,Male
,2021,NA,Male
,2022,NA,Male
,2023,NA,Male
,2024,NA,Male
,2025,NA,Male
Median age,2000,37.9,Male
Median age,2001,38.5,Male
Median age,2002,39,Male
Median age,2003,39.5,Male
Median age,2004,40.1,Male
Median age,2005,40.6,Male
Median age,2006,41.3,Male
Median age,2007,41.9,Male
Median age,2008,42.3,Male
Median age,2009,42.6,Male
Median age,2010,43,Male
Median age,2011,43.2,Male
Median age,2012,43.6,Male
Median age,2013,44.1,Male
Median age,2014,44.5,Male
Median age,2015,44.7,Male
Median age,2016,44.8,Male
Median age,2017,44.7,Male
Median age,2018,44.7,Male
Median age,2019,44.4,Male
Median age,2020,44.2,Male
Median age,2021,44.1,Male
Median age,2022,43.7,Male
Median age,2023,43.1,Male
Median age,2024,42.5,Male
Median age,2025,42.4,Male
